                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 3.0399,                 3.2829,                 3.7821,                0.00133,                0.28571,                0.00251,                0.00062,                 3.5448,                 4.3003,                 4.1336,             0.00021164,             0.00021164,             0.00021164
                     91,                 2.9009,                  4.154,                 3.6644,                0.00133,                0.28571,                0.00251,                0.00062,                 3.5448,                 4.3003,                 4.1336,              0.0001962,              0.0001962,              0.0001962
                     92,                  3.095,                 4.1158,                 3.7161,                0.00133,                0.28571,                0.00204,                0.00052,                 3.5529,                 4.3183,                 4.1415,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.9113,                 3.9873,                 3.8187,                0.00133,                0.28571,                0.00204,                0.00052,                 3.5529,                 4.3183,                 4.1415,             0.00016413,             0.00016413,             0.00016413
                     94,                  2.813,                 4.1686,                  3.709,                0.00133,                0.28571,                0.00204,                0.00052,                 3.5529,                 4.3183,                 4.1415,              0.0001475,              0.0001475,              0.0001475
                     95,                 3.0901,                 3.9475,                 3.7269,                0.00133,                0.28571,                0.00204,                0.00052,                 3.5529,                 4.3183,                 4.1415,             0.00013047,             0.00013047,             0.00013047
                     96,                 3.1606,                 3.9474,                 3.7751,                0.00133,                0.28571,                 0.0019,                0.00046,                 3.5415,                  4.342,                 4.1557,             0.00011305,             0.00011305,             0.00011305
                     97,                 2.9229,                 3.9237,                 3.6733,                0.00133,                0.28571,                 0.0019,                0.00046,                 3.5415,                  4.342,                 4.1557,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 2.9796,                 3.8752,                 3.7214,                0.00133,                0.28571,                 0.0019,                0.00046,                 3.5415,                  4.342,                 4.1557,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.7788,                    3.9,                  3.729,                0.00133,                0.28571,                 0.0019,                0.00046,                 3.5415,                  4.342,                 4.1557,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 2.7921,                 3.9856,                 3.7381,                0.00133,                0.28571,                0.00191,                0.00043,                 3.5404,                 4.3444,                 4.1583,             3.9402e-05,             3.9402e-05,             3.9402e-05
